mode: set
github.com/rjs/go-hedgehog/gen.go:15.61,17.2 1 1
github.com/rjs/go-hedgehog/gen.go:20.47,22.2 1 1
github.com/rjs/go-hedgehog/gen.go:25.43,26.41 1 1
github.com/rjs/go-hedgehog/gen.go:26.41,29.3 2 1
github.com/rjs/go-hedgehog/gen.go:33.39,34.41 1 1
github.com/rjs/go-hedgehog/gen.go:34.41,35.43 1 1
github.com/rjs/go-hedgehog/gen.go:35.43,37.4 1 1
github.com/rjs/go-hedgehog/gen.go:42.39,43.15 1 1
github.com/rjs/go-hedgehog/gen.go:43.15,44.64 1 0
github.com/rjs/go-hedgehog/gen.go:47.2,47.43 1 1
github.com/rjs/go-hedgehog/gen.go:47.43,49.45 2 1
github.com/rjs/go-hedgehog/gen.go:49.45,51.4 1 1
github.com/rjs/go-hedgehog/gen.go:56.50,57.18 1 1
github.com/rjs/go-hedgehog/gen.go:57.18,59.3 1 0
github.com/rjs/go-hedgehog/gen.go:61.2,64.40 2 1
github.com/rjs/go-hedgehog/gen.go:64.40,65.60 1 0
github.com/rjs/go-hedgehog/gen.go:65.60,67.4 1 0
github.com/rjs/go-hedgehog/gen.go:71.2,71.17 1 1
github.com/rjs/go-hedgehog/gen.go:71.17,73.25 2 1
github.com/rjs/go-hedgehog/gen.go:73.25,74.69 1 1
github.com/rjs/go-hedgehog/gen.go:74.69,76.5 1 0
github.com/rjs/go-hedgehog/gen.go:80.2,80.16 1 1
github.com/rjs/go-hedgehog/gen.go:84.51,85.15 1 0
github.com/rjs/go-hedgehog/gen.go:85.15,86.68 1 0
github.com/rjs/go-hedgehog/gen.go:89.2,89.47 1 0
github.com/rjs/go-hedgehog/gen.go:89.47,91.49 2 0
github.com/rjs/go-hedgehog/gen.go:91.49,93.4 1 0
github.com/rjs/go-hedgehog/gen.go:98.62,99.33 1 0
github.com/rjs/go-hedgehog/gen.go:99.33,101.3 1 0
github.com/rjs/go-hedgehog/gen.go:103.2,106.53 2 0
